iter	Passed	Remaining
1362	1982	41657
1363	1983	41646
1364	1984	41638
1365	1985	41629
1366	1987	41624
1367	1988	41615
1368	1989	41609
1369	1990	41602
1370	1991	41588
1371	1992	41578
1372	1993	41568
1373	1995	41570
1374	1997	41574
1375	1998	41569
1376	1999	41566
1377	2001	41562
1378	2002	41557
1379	2003	41548
1380	2004	41540
1381	2005	41531
1382	2007	41531
1383	2008	41529
1384	2009	41527
1385	2011	41522
1386	2012	41514
1387	2013	41503
1388	2014	41492
1389	2015	41483
1390	2016	41479
1391	2018	41476
1392	2019	41469
1393	2020	41460
1394	2021	41452
1395	2022	41441
1396	2023	41433
1397	2024	41428
1398	2025	41419
1399	2027	41410
1400	2028	41413
1401	2030	41415
1402	2031	41406
1403	2032	41397
1404	2033	41393
1405	2035	41392
1406	2036	41391
1407	2038	41386
1408	2041	41418
1409	2043	41435
1410	2045	41437
1411	2046	41435
1412	2047	41422
1413	2048	41409
1414	2049	41399
1415	2052	41425
1416	2053	41432
1417	2055	41424
1418	2056	41417
1419	2057	41409
1420	2059	41421
1421	2060	41415
1422	2061	41408
1423	2063	41408
1424	2065	41421
1425	2066	41411
1426	2067	41405
1427	2069	41398
1428	2070	41389
1429	2071	41382
1430	2072	41374
1431	2073	41361
1432	2074	41347
1433	2074	41333
1434	2075	41322
1435	2076	41314
1436	2078	41312
1437	2080	41315
1438	2081	41307
1439	2089	41447
1440	2091	41441
1441	2091	41428
1442	2093	41424
1443	2094	41414
1444	2095	41417
1445	2097	41410
1446	2097	41398
1447	2098	41387
1448	2100	41378
1449	2100	41365
1450	2101	41352
1451	2102	41338
1452	2103	41324
1453	2104	41313
1454	2105	41302
1455	2106	41294
1456	2107	41283
1457	2108	41271
1458	2109	41268
1459	2110	41263
1460	2111	41249
1461	2112	41242
1462	2113	41232
1463	2114	41218
1464	2115	41204
1465	2116	41191
1466	2117	41177
1467	2117	41162
1468	2118	41146
1469	2119	41141
1470	2120	41130
1471	2122	41125
1472	2125	41156
1473	2128	41201
1474	2131	41211
1475	2132	41201
1476	2133	41207
1477	2135	41202
1478	2136	41200
1479	2137	41188
1480	2138	41177
1481	2139	41166
1482	2140	41156
1483	2141	41145
1484	2142	41135
1485	2143	41123
1486	2144	41112
1487	2144	41099
1488	2145	41086
1489	2146	41074
1490	2147	41064
1491	2149	41072
1492	2150	41059
1493	2151	41051
1494	2152	41047
1495	2154	41043
1496	2156	41056
1497	2157	41045
1498	2158	41033
1499	2158	41018
1500	2159	41004
1501	2160	40991
1502	2162	40999
1503	2163	40998
1504	2164	40989
1505	2168	41021
1506	2172	41071
1507	2174	41075
1508	2174	41063
1509	2176	41065
1510	2177	41058
1511	2179	41060
1512	2180	41050
1513	2181	41040
1514	2182	41029
1515	2183	41026
1516	2184	41014
1517	2185	41002
1518	2186	40989
1519	2187	40992
1520	2189	41000
1521	2191	40998
1522	2192	40993
1523	2194	40999
1524	2195	40987
1525	2196	40981
1526	2197	40971
1527	2198	40961
1528	2199	40948
1529	2199	40936
1530	2200	40923
1531	2201	40910
1532	2202	40899
1533	2203	40890
1534	2204	40882
1535	2205	40873
1536	2206	40862
1537	2207	40856
1538	2209	40859
1539	2212	40889
1540	2214	40896
1541	2216	40905
1542	2217	40902
1543	2218	40890
1544	2219	40878
1545	2220	40867
1546	2221	40858
1547	2224	40886
1548	2225	40878
1549	2226	40868
1550	2227	40864
1551	2229	40861
1552	2230	40852
1553	2231	40843
1554	2232	40834
1555	2233	40821
1556	2233	40809
1557	2234	40796
1558	2236	40801
1559	2237	40792
1560	2238	40779
1561	2239	40765
1562	2239	40753
1563	2240	40743
1564	2242	40737
1565	2243	40731
1566	2244	40719
1567	2245	40708
1568	2245	40695
1569	2246	40681
1570	2247	40668
1571	2248	40658
1572	2250	40667
1573	2252	40671
1574	2253	40663
1575	2256	40690
1576	2258	40707
1577	2260	40707
1578	2261	40700
1579	2262	40692
1580	2263	40683
1581	2264	40673
1582	2265	40666
1583	2266	40656
1584	2267	40645
1585	2268	40632
1586	2269	40637
1587	2270	40627
1588	2271	40616
1589	2272	40604
1590	2273	40591
1591	2274	40579
1592	2274	40567
1593	2276	40562
1594	2277	40550
1595	2277	40538
1596	2278	40529
1597	2279	40521
1598	2280	40513
1599	2281	40500
1600	2282	40495
1601	2283	40484
1602	2284	40472
1603	2285	40461
1604	2286	40449
1605	2287	40437
1606	2287	40425
1607	2289	40417
1608	2289	40406
1609	2291	40399
1610	2292	40397
1611	2302	40553
1612	2304	40552
1613	2305	40553
1614	2310	40608
1615	2311	40605
1616	2312	40598
1617	2314	40591
1618	2316	40599
1619	2317	40593
1620	2318	40587
1621	2319	40576
1622	2320	40565
1623	2320	40554
1624	2322	40558
1625	2324	40560
1626	2325	40553
1627	2327	40559
1628	2329	40579
1629	2331	40573
1630	2332	40570
1631	2333	40563
1632	2334	40554
1633	2337	40574
1634	2338	40576
1635	2340	40569
1636	2340	40560
1637	2342	40563
1638	2344	40560
1639	2345	40556
1640	2346	40549
1641	2347	40542
1642	2348	40541
1643	2351	40552
1644	2353	40568
1645	2360	40664
1646	2365	40716
1647	2366	40721
1648	2369	40739
1649	2372	40758
